class_id,class_name,count,share
0,class_0,643778,0.16533649875287126
1,class_1,454864,0.11681918482571016
2,class_2,233413,0.05994564614417383
3,class_3,311555,0.08001424849707633
4,class_4,32343,0.008306401242608657
5,class_5,46691,0.011991286535529814
6,class_6,352314,0.09048206559034185
7,class_7,340708,0.08750138684001825
8,class_8,23057,0.005921550055679059
9,class_9,1455021,0.37368173151599077
