model,best_epoch,best_val_miou,test_loss,test_overall_accuracy,test_miou,test_macro_f1,test_weighted_f1
majority_baseline,,,,0.37886763406417406,0.037886763406417404,0.054953445088485,0.2082008172434982
pointnet,25.0,0.7615249680154044,0.21425558805465697,0.92560546875,0.7631188078188746,0.8545724452331465,0.9258524650163842
