class_id,count,freq,loss_weight
0,452616,0.16576723601511995,0.4510431531279415
1,319594,0.1170489201155422,0.536764440481616
2,163601,0.05991764670119846,0.7502224719114702
3,218342,0.07996612988938376,0.649403169070018
4,22583,0.008270855407076758,2.019259935294796
5,32620,0.011946831837171493,1.6801229620908453
6,246632,0.09032713150414715,0.6110240905823444
7,240401,0.08804507420257095,0.6188920596467858
8,16222,0.005941186574573758,2.382488687062391
9,1017820,0.37276898775321554,0.30077903073179063
