model,epoch,train_loss,train_oa,train_miou,train_macro_f1,val_loss,val_oa,val_miou,val_macro_f1,lr,epoch_time_sec
pointnet,1,1.5172747605187553,0.5134660993303571,0.20746118513223416,0.3017566482924253,1.4445700168609619,0.513115234375,0.18508223475368735,0.2715744040434369,0.0009972609476841367,57.59158635139465
pointnet,2,1.1909671790259224,0.599033203125,0.30851354153514754,0.4294961133665356,0.9940474605560303,0.6689713541666666,0.34384311761940334,0.47032597591256237,0.0009890738003669028,55.259151220321655
pointnet,3,1.038943566935403,0.6388169642857143,0.3554185845059065,0.4876771606003619,0.9129771757125854,0.67642578125,0.40618701081451325,0.5246860891052707,0.0009755282581475768,52.38650608062744
pointnet,4,0.8703015150342669,0.6915115792410714,0.41208723404446435,0.5460193457528802,1.1300968154271445,0.5751888020833333,0.28715632435433774,0.3976373288438307,0.0009567727288213003,55.67084884643555
pointnet,5,0.8011587052685873,0.7087332589285714,0.4360299860820719,0.5725014413422327,0.9262466112772624,0.6635904947916667,0.4063236598450274,0.5291016568806249,0.0009330127018922195,56.27749586105347
pointnet,6,0.7163487207889557,0.73265625,0.4694453599009738,0.6070827532671756,0.6278076442082723,0.7749348958333333,0.47505202054561274,0.5971064827790425,0.0009045084971874739,53.48420739173889
pointnet,7,0.6814902794361114,0.7424044363839286,0.482628822616687,0.6208446538510876,0.659944839477539,0.73451171875,0.4999373741602048,0.6402271836771576,0.0008715724127386972,52.86482644081116
pointnet,8,0.5997229451792581,0.7706947544642857,0.519141753155378,0.6545915621822292,0.5236433204015096,0.75158203125,0.5276026814336109,0.6695020541092475,0.0008345653031794292,54.48057699203491
pointnet,9,0.530472160748073,0.7917724609375,0.5470578932324078,0.6787634859955014,0.35500287810961406,0.8698567708333333,0.6489067004451242,0.7586357726729857,0.0007938926261462366,53.91020131111145
pointnet,10,0.519996976511819,0.7986097935267857,0.556063536634539,0.6872495454636259,0.5052217845122019,0.8003092447916667,0.5442151431324216,0.6661751335400091,0.00075,47.370866775512695
pointnet,11,0.4847660151549748,0.8087806919642857,0.5712181801188864,0.7007696472218011,0.617116543451945,0.7067903645833333,0.5057020992378114,0.6536833063318561,0.0007033683215379003,39.205225229263306
pointnet,12,0.4369725125176566,0.8271107700892857,0.5986076619062161,0.7247102745821568,0.32058493375778196,0.8920540364583334,0.6554181602943363,0.7505741237268471,0.0006545084971874739,39.11324715614319
pointnet,13,0.4279004340512412,0.8301862444196428,0.6026522019606022,0.7284169584877109,0.4629754424095154,0.7734537760416667,0.5739398297420567,0.7110369062811543,0.0006039558454088797,39.30578541755676
pointnet,14,0.401939982686724,0.8401834542410714,0.6162105932447903,0.7397500881554444,0.29740084528923033,0.8860579427083334,0.6844893078952874,0.7887044069601218,0.0005522642316338269,39.07765293121338
pointnet,15,0.40605801463127134,0.839736328125,0.617004847546091,0.7402647073756186,0.39710201223691305,0.8821809895833334,0.6163784868224129,0.7199358401264729,0.0005000000000000002,39.41241407394409
pointnet,16,0.3830610116890499,0.8469342912946428,0.6284605463262091,0.749869460100875,0.38960849205652875,0.85046875,0.6159219303287914,0.7197072884203106,0.0004477357683661734,38.9162540435791
pointnet,17,0.37088517444474356,0.8541455078125,0.6373253433568042,0.756736406711586,0.3940922176837921,0.8919661458333333,0.6163139939381772,0.707114631246282,0.00039604415459112036,40.07265043258667
pointnet,18,0.35836065667016165,0.8574811662946429,0.6450502969575681,0.7636179886435553,0.2992051347096761,0.9036458333333334,0.6881619177611269,0.7924871153282712,0.0003454915028125264,40.17952370643616
pointnet,19,0.3351294219493866,0.8666713169642857,0.6590529534994632,0.7746210031657912,0.3089331273237864,0.8789420572916666,0.6860164594546971,0.7899900527316926,0.00029663167846210003,39.116514444351196
pointnet,20,0.3232100189583642,0.8710972377232142,0.6664284362479802,0.7803818348906468,0.41864908337593076,0.8661490885416666,0.5918708021131188,0.7013951089645695,0.00025000000000000017,39.959654331207275
pointnet,21,0.3097283499581473,0.8764641462053572,0.6759856788105608,0.7882723255537237,0.27292588909467064,0.9126627604166667,0.6960426386483338,0.7995598213732439,0.00020610737385376354,39.376572132110596
pointnet,22,0.3066118368932179,0.8773932756696429,0.6781776414642169,0.7898420391249954,0.27406993726889295,0.9040787760416666,0.7054227537216549,0.8081535358300238,0.00016543469682057108,39.342970848083496
pointnet,23,0.30345822666372574,0.8797732979910714,0.6804132316115057,0.7914650831044641,0.28067058801651,0.9177018229166667,0.6733649593300446,0.7579194386701851,0.00012842758726130303,39.738271713256836
pointnet,24,0.29173602095672063,0.8842424665178571,0.6878139722731109,0.7968666494495774,0.23475462635358174,0.92154296875,0.7450839950597369,0.8405252508731147,9.549150281252637e-05,42.85199546813965
pointnet,25,0.30040051162242887,0.8807003348214286,0.6827691741722666,0.7934923678931959,0.21414302965005239,0.9280631510416667,0.7615249680154044,0.8524461516417823,6.698729810778068e-05,41.41989278793335
pointnet,26,0.28371823847293853,0.8869768415178572,0.693256273560708,0.8014442574471244,0.23363977233568828,0.926884765625,0.7521142872145289,0.8462722146748544,4.322727117869953e-05,40.83747982978821
pointnet,27,0.28306995800563267,0.8874162946428571,0.6946131387460104,0.8023918463296613,0.235440190633138,0.9233333333333333,0.7362454861482568,0.8296689092588589,2.447174185242324e-05,42.57943153381348
pointnet,28,0.2803496990033558,0.8885574776785714,0.696464062897172,0.8038100348061092,0.22918826063474018,0.929111328125,0.754050436204186,0.8460789169079883,1.092619963309716e-05,44.481579303741455
pointnet,29,0.28406480542251045,0.8871868024553572,0.6943765084863123,0.8023049134476377,0.22894058704376222,0.9305859375,0.7577147741752637,0.8491265690428851,2.7390523158633003e-06,44.18227243423462
pointnet,30,0.2828482517174312,0.8872077287946428,0.6956063399825662,0.8033047942162197,0.23137940565745035,0.928857421875,0.7498777527915187,0.8425489661742628,0.0,40.04791259765625
