geometry_type,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,rmse_normalized,accuracy_score,smoothness_score,connectivity_score,artifact_score,global_quality_score,n_vertices,n_triangles,mesh_components,bad_triangle_ratio,mean_aspect_ratio
complex,0.006169716278448848,0.007828623007727357,0.016022301021281084,0.01208932016027877,0.018259036438727616,0.02452008115005275,0.9763334147843107,0.7326083414984569,0.6733755397780078,0.9663699642457567,0.8371718150766331,1041.060070671378,1951.5537102473497,4.7498233215547705,0.033630035754243254,5.422492968390203
plane,0.006965013042296895,0.009871155371371664,0.02180283921382002,0.006810861299807646,0.01377587434210454,0.03195756385741995,0.9693722239345197,0.573762037457927,0.36739120917351314,0.9951694532734283,0.726423730959847,287.13065326633165,523.6834170854271,16.008375209380233,0.004830546726571644,1.932036402616247
spherical,0.0076078126008155555,0.008622239202058441,0.014907401298895248,0.00863906575360329,0.016246878354418844,0.014326767446175104,0.9859380456452056,0.950128117340861,0.9758573180040571,0.9448135152451713,0.9641842490588238,4297.855555555556,8378.392063492063,1.1261904761904762,0.05518648475482857,6.739985513967249
tubular,0.008034034951073679,0.009922304394125,0.02024878010117794,0.006746457135827892,0.014780492086901569,0.014679929238041551,0.9855380617003136,0.8353113919514976,0.2147833834978475,0.9926181654993532,0.757062750662253,698.3408360128617,981.3890675241157,17.655948553054664,0.007381834500646778,2.026280303893355
