used_reconstruction_method,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,rmse_normalized,accuracy_score,smoothness_score,connectivity_score,artifact_score,global_quality_score,n_vertices,n_triangles,mesh_components,bad_triangle_ratio,mean_aspect_ratio
alpha_shape,0.004921698127243326,0.007048392784412322,0.015386225946865905,0.007706615207493619,0.012628313334736943,0.032932372205170035,0.9686347178928553,0.5274017504826957,0.5279731985365069,0.9957119890944168,0.7549304140016188,140.85602879424115,254.65446910617877,9.089382123575286,0.004288010905583103,1.9849760927757276
ball_pivoting,0.008050079959184801,0.009942964617797184,0.020295805540903867,0.006738968101305185,0.014789048060489985,0.014674270485966772,0.9855435665062218,0.8362925999714131,0.2122504266704212,0.9925943531299963,0.7566702365695132,700.2870967741935,983.9548387096775,17.70967741935484,0.007405646870003703,2.0260936373003995
poisson,0.007614314146180432,0.008992370449060358,0.017047191253838037,0.012024569217497593,0.019638883363678028,0.017093807327399006,0.983214325020174,0.9051080402196705,0.8194088805604449,0.9468905348587392,0.9136554451647572,2746.8397881496194,5285.662694472029,3.067527308838133,0.05310946514126073,7.1779515328684145
