file,label,geometry_type,method,status,error,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,mesh_components,largest_mesh_component_ratio,mean_adjacent_face_angle,smoothness_score,n_vertices,n_triangles,bad_triangle_ratio,mean_aspect_ratio,artifact_score,rmse_normalized,accuracy_score,connectivity_score,global_quality_score
valve_0001_lidar_classes.ply,0,spherical,alpha_shape,ok,,0.016932708342169648,0.022451939706976027,0.04697869723926099,0.006173631009731103,0.02310633935190075,109,0.23558282208588957,1.3784318527361967,0.42044509236183475,573,815,0.012269938650306749,2.293217969734015,0.9877300613496932,0.041858350087845234,0.9598233770605035,0.009174311926605505,0.5942932106746592
valve_0001_lidar_classes.ply,0,spherical,ball_pivoting,ok,,0.007160664666342107,0.00816012948257666,0.014307178434606074,0.005914458358276499,0.013075123024618607,1,1.0,0.06641873845993024,0.9377179563106244,1169,2238,0.0035746201966041107,1.8126855872832557,0.9964253798033958,0.015213365130216892,0.9850146130333247,1.0,0.9797894872868362
valve_0001_lidar_classes.ply,0,spherical,poisson,ok,,0.00754193917907636,0.008644965313351701,0.014965364589053997,0.007551381543388392,0.015093320722464752,1,1.0,0.04483420472976323,0.9570896468293176,2270,4319,0.03750868256540866,3.7084805078150387,0.9624913174345914,0.016117270458869067,0.9841383756310031,1.0,0.9759298349737281
valve_0001_lidar_classes.ply,1,spherical,alpha_shape,ok,,0.016460845497961812,0.02196953753559014,0.04682740861977482,0.007539384756054517,0.02400023025401633,109,0.12351543942992874,1.3907456826694726,0.4182795381579082,580,842,0.0035629453681710215,2.10006843346773,0.996437054631829,0.04286046653250358,0.9589010534889542,0.009174311926605505,0.5956979895513241
valve_0001_lidar_classes.ply,1,spherical,ball_pivoting,ok,,0.007600637367377708,0.008546360043779991,0.014288269540340355,0.00678786332714962,0.014388500694527327,1,1.0,0.08336417328145711,0.9230506459993493,1078,2069,0.0038666022232962784,1.8723901685930289,0.9961333977767037,0.016673131058756202,0.9836003032347349,1.0,0.9756960867526969
valve_0001_lidar_classes.ply,1,spherical,poisson,ok,,0.007974664066868638,0.009466254514496833,0.016139640278645163,0.007070428727117731,0.01504509279398637,1,1.0,0.05281579995695998,0.9498337696308137,2573,4938,0.05002025111381126,4.25286172843167,0.9499797488861887,0.01846775719104157,0.981867116498635,1.0,0.9704201587539094
valve_0001_lidar_classes.ply,2,complex,alpha_shape,ok,,0.007868558071433239,0.010839089897499096,0.022222368601034683,0.007112576256987667,0.014981134328420905,27,0.7062750333778371,0.6025531117949913,0.6240042795710637,418,749,0.0053404539385847796,1.8994778223427675,0.9946595460614153,0.02634585782858618,0.9743304290384867,0.037037037037037035,0.6575078229270007
valve_0001_lidar_classes.ply,2,complex,ball_pivoting,ok,,0.0059249426451414315,0.006942093876554039,0.012782252376509885,0.006522586146751153,0.012447528791892586,1,1.0,0.13170575984949037,0.8836219055145514,478,746,0.014745308310991957,2.1826515318564317,0.985254691689008,0.01687368773891163,0.9834063090211022,1.0,0.9630707265561654
valve_0001_lidar_classes.ply,2,complex,poisson,ok,,0.006204231574047034,0.006922933928715058,0.011674089249529172,0.008225394515580419,0.014429626089627452,1,1.0,0.1205755971053406,0.892398516069054,1582,2929,0.05769887333560942,22.240926941606038,0.9423011266643906,0.016827116922861346,0.9834513491597433,1.0,0.9545377479732969
valve_0001_lidar_classes.ply,3,complex,alpha_shape,ok,,0.027473859700424784,0.04548886018413295,0.10930681212358784,0.006472113552306798,0.03394597325273158,33,0.12269938650306748,1.5990956464115327,0.38474921128072376,126,163,0.0,1.7606541409454963,1.0,0.12030054670463695,0.892617613140955,0.030303030303030304,0.5769174636811772
